TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
741,2043.51,14.9797,431.413
742,2037.39,13.3877,367.566
743,2047.7,15.1878,441.286
744,2054.77,12.8813,369.693
745,2063.2,15.6067,454.129
746,2054.64,13.2552,376.329
747,2040.36,15.4103,449.21
748,2054.41,12.571,390.791
749,2050.29,15.1608,442.174
750,2048.99,12.9737,368.39
751,2070.08,15.1064,449.034
752,2050.45,17.2804,499.072
753,2046.43,14.6815,428.394
754,2038.62,16.0577,467.314
755,2046.36,14.2734,416.274
756,2048.09,16.3818,468.92
757,2044.67,13.8079,404.379
758,2044.89,16.292,456.619
759,2040.47,13.7936,400.218
760,2031.83,16.7544,484.067
761,2047.74,14.3572,422.396
762,2050.25,16.897,493.974
763,2043.91,14.2431,412.913
764,2043.99,16.084,480.251
765,2037.01,14.4649,418.413
766,2038.42,16.2777,470.366
767,2042.84,13.8258,406.611
768,2047.58,15.3879,452.469
769,2035.61,19.0201,537.694
770,2029.93,15.0092,421.355
771,2040.23,18.8591,515.885
772,2028.3,15.3236,398.685
773,2042.94,18.6939,518.574
774,2039.94,13.9414,338.293
775,2037.79,17.7337,440.22
776,2039.87,15.6422,458.119
777,2048.27,18.166,523.766
778,2046,15.9753,468.288
779,2049.15,18.241,524.074
780,2043.79,14.2088,396.33
781,2044.98,19.3843,538.629
782,2058.75,15.2965,412.365
783,2046.38,17.9922,486.946
784,2062.23,16.8676,475.616
785,2026.38,16.5212,475.705
786,2036.91,17.6307,521.586
787,2032.56,16.9916,476.816
788,2041.08,15.8115,447.737
789,2036.01,16.6757,468.828
790,2062.03,16.197,462.065
791,2052.96,16.5178,457.968
792,2056.16,16.9561,587.569
793,2049.53,17.1439,478.845
794,2032.58,17.296,564.535
795,2043.28,16.9931,501.316
796,2047.43,16.6969,498.811
797,2054.75,16.2754,462.709
798,2042.17,17.6648,556.262
799,2031.88,17.2595,479.774
800,2052.46,18.2661,510.689
801,2054.56,15.0815,435.238
802,2031.49,18.0431,503.851
